"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","1462","331","766","193","37","46","39","36","76","47","46","28","30","33","43","35","0","12","45","47","26","25","29","27","62","45","75","43","14","19","63","34","32","20","8","14","27","28","15","16","24","22","35","31","31","19","1","2","8","12","696","174","31","39","18","20","68","71","51","37","0","12","0","12","8","18","9","15","39","32","42","39","64","37","20","20","97","45","64","37","24","23","11","9","20","28","3","5","0","12","44","33","54","40","8","11","21","22",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","602","144","301","88","9","8","9","8","26","16","3","6","8","10","0","12","0","12","0","12","44","57","2","4","13","9","23","11","17","12","9","8","33","36","10","11","38","43","14","9","16","9","8","8","17","12","0","12","2","4","301","74","19","20","16","13","8","7","6","8","9","12","0","12","0","12","2","3","6","7","20","17","11","8","21","12","20","13","33","38","24","13","34","39","11","9","5","6","9","9","8","10","5","6","5","6","29","37",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","1339","318","654","148","14","14","14","14","36","40","32","30","0","12","0","12","0","12","3","4","21","24","22","19","41","22","82","74","24","19","36","23","140","105","2","3","41","30","12","13","27","23","29","17","54","36","9","7","15","12","685","182","17","23","16","17","12","10","6","8","37","45","2","5","7","6","11","14","28","21","40","24","14","10","18","12","72","73","48","37","109","95","25","25","10","7","22","14","54","55","70","42","31","21","7","6","29","15",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","1096","312","596","182","8","8","13","14","62","46","37","27","0","12","0","12","0","12","70","51","13","18","99","61","47","31","39","29","40","28","18","17","41","28","0","12","32","21","19","17","13","13","33","20","9","11","0","12","3","4","500","155","18","24","33","25","42","30","18","18","13","18","11","14","9","12","23","28","23","28","19","16","31","24","20","17","39","31","11","12","60","34","18","14","20","16","19","18","39","24","10","13","18","17","4","5","2","3",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","1279","340","779","230","0","12","122","131","9","13","9","14","0","12","7","9","0","12","27","24","57","75","25","26","115","87","91","52","75","48","70","47","79","54","4","6","33","30","3","6","0","12","6","9","35","26","5","8","7","9","500","162","98","92","0","12","41","39","5","7","0","12","4","5","0","12","4","9","32","27","65","51","29","29","59","37","8","13","14","19","50","34","0","12","19","18","20","34","1","2","20","22","26","14","5","11","0","12",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","1023","148","465","78","22","20","30","20","16","13","6","9","11","21","0","12","0","12","20","22","17","15","28","21","16","11","63","45","23","17","25","16","26","17","9","11","37","21","9","7","26","15","52","31","9","8","11","14","9","8","558","93","21","19","27","13","88","50","3","5","6","9","0","12","0","12","14","17","19","15","48","38","34","28","33","16","17","16","35","17","16","13","44","22","22","16","16","10","32","19","22","16","31","25","11","9","19","13",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","1353","294","755","194","22","33","12","19","34","40","48","39","85","71","0","12","26","28","25","28","7","14","57","57","27","37","61","59","28","31","71","57","11","16","30","41","10","15","29","31","33","36","70","50","32","30","14","26","23","33","598","129","15","27","0","12","16","27","28","31","43","53","0","12","0","12","0","12","42","51","24","36","17","20","52","41","30","34","38","33","35","37","0","12","43","35","13","21","81","51","14","17","30","29","65","52","12","32",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","1149","479","549","309","31","39","22","35","127","143","30","44","79","95","0","12","0","12","11","19","0","12","10","23","76","90","43","57","0","12","0","12","11","18","7","12","14","24","26","33","17","19","45","30","0","12","0","12","0","12","600","255","27","47","24","29","123","136","24","30","0","12","0","12","36","53","15","24","29","38","49","67","100","74","24","40","0","12","53","59","18","26","0","12","6","11","8","13","12","20","37","30","7","11","0","12","8","13",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","1665","359","751","217","0","12","55","69","39","40","83","59","0","12","12","22","0","12","11","17","109","77","50","74","11","49","25","31","29","27","72","73","28","32","0","12","30","30","55","63","50","62","43","33","19","21","23","25","7","11","914","263","8","17","0","12","10","19","53","65","2","5","12","18","0","12","26","28","102","72","164","143","113","93","7","16","62","52","37","52","15","22","10","17","58","42","35","49","107","71","16","21","42","29","0","12","35","29",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","1304","580","625","281","28","34","71","97","69","59","17","20","0","12","0","12","0","12","0","12","111","84","30","50","0","12","13","20","54","72","48","49","37","54","25","32","8","13","0","12","5","9","27","32","50","43","24","27","8","12","679","345","35","44","82","77","48","59","59","76","0","12","0","12","0","12","11","18","62","54","104","109","0","12","23","26","51","70","52","51","48","60","0","12","18","31","3","4","24","30","15","20","8","12","36","35","0","12",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","858","417","367","228","0","12","136","136","0","12","0","12","32","50","0","12","0","12","0","12","30","49","53","60","25","31","27","43","10","18","0","12","0","12","14","18","0","12","5","9","7","13","11","17","17","15","0","12","0","12","491","218","61","70","92","71","14","22","0","12","0","12","0","12","4","9","27","36","38","57","33","43","59","92","38","52","11","19","0","12","30","35","6","10","0","12","31","24","26","25","14","16","0","12","7","13","0","12",
"1500000US150010204003","Block Group 3; Census Tract 204; Hawaii County; Hawaii","1236","363","606","244","5","11","47","80","0","12","0","12","4","10","0","12","0","12","17","30","0","12","124","151","114","77","51","56","0","12","9","16","19","25","27","46","38","45","9","13","17","19","36","49","46","38","12","20","31","42","630","256","0","12","3","5","49","74","0","12","0","12","0","12","0","12","12","19","110","159","33","55","27","37","70","60","9","15","84","74","32","24","0","12","0","12","30","33","22","21","50","35","58","65","12","20","29","35",
